modeID	 scaleF	 scaleF_repeated
1	 0.97866 	 nan
2	 0.96576 	 0.97769
3	 0.98301 	 nan
4	 0.97505 	 0.97233
5	 0.96374 	 nan
6	 0.97851 	 nan
7	 0.97357 	 nan
8	 0.96764 	 nan
9	 0.96289 	 nan
10	 0.95020 	 nan
11	 0.94602 	 nan
12	 0.96166 	 nan
13	 0.95910 	 nan
14	 0.96311 	 nan
15	 0.98208 	 nan
16	 0.96914 	 nan
17	 0.92484 	 nan
18	 0.91603 	 nan
19	 0.93051 	 nan
20	 0.95891 	 0.95484
21	 0.89804 	 nan
22	 0.90293 	 0.89803
23	 0.90454 	 nan
24	 0.88645 	 nan
25	 0.96426 	 nan
26	 0.92483 	 nan
27	 0.90307 	 nan
