actID	 scaleF_during_test 	 scaleF_updated 	 scaleF_repeated
101 	 0.99200 	 0.99222 	 0.00000
102 	 0.98900 	 0.98907 	 0.00000
103 	 1.01600 	 1.01566 	 0.00000
104 	 0.98700 	 0.98678 	 0.00000
105 	 0.99000 	 0.99041 	 0.00000
106 	 0.98200 	 0.98215 	 0.00000
107 	 0.99900 	 0.99960 	 0.00000
108 	 0.99200 	 0.99196 	 0.00000
109 	 0.99999 	 0.99880 	 0.00000
110 	 0.88888 	 0.00000 	 0.00000
111 	 0.88888 	 0.00000 	 0.00000
112 	 0.98900 	 0.98934 	 0.00000
113 	 0.98500 	 0.98545 	 0.99077
114 	 0.99500 	 0.99499 	 0.99619
115 	 0.98200 	 0.98172 	 0.00000
116 	 0.98800 	 0.98819 	 0.00000
117 	 0.88888 	 0.00000 	 0.00000
118 	 0.98400 	 0.98359 	 0.00000
119 	 0.99300 	 0.99346 	 0.00000
120 	 0.99999 	 0.98861 	 0.00000
121 	 0.99999 	 0.98995 	 0.00000
122 	 0.99999 	 0.99620 	 0.00000
123 	 0.99999 	 0.99352 	 0.00000
124 	 0.98400 	 0.98374 	 0.00000
125 	 0.00000 	 0.00000 	 0.00000
126 	 0.96300 	 0.96272 	 0.98261
127 	 0.00000 	 0.00000 	 0.00000
128 	 0.97700 	 0.97733 	 0.00000
129 	 0.00000 	 0.00000 	 0.00000
130 	 0.99300 	 0.99267 	 0.00000
131 	 0.00000 	 0.00000 	 0.00000
132 	 0.00000 	 0.00000 	 0.00000
133 	 0.98800 	 0.98814 	 0.00000
134 	 0.00000 	 0.00000 	 0.00000
135 	 0.98100 	 0.98140 	 0.00000
136 	 0.00000 	 0.00000 	 0.00000
137 	 0.00000 	 0.00000 	 0.00000
138 	 0.98800 	 0.98806 	 0.00000
139 	 0.98700 	 0.98734 	 0.00000
140 	 0.88888 	 0.00000 	 0.00000
141 	 0.00000 	 0.00000 	 0.00000
142 	 0.00000 	 0.00000 	 0.00000
143 	 0.00000 	 0.00000 	 0.00000
207 	 0.88888 	 0.00000 	 0.00000
208 	 0.99999 	 1.00110 	 0.00000
209 	 0.99999 	 0.99502 	 0.00000
210 	 0.00000 	 0.00000 	 0.00000
211 	 0.00000 	 0.00000 	 0.00000
212 	 0.00000 	 0.00000 	 0.00000
214 	 0.00000 	 0.00000 	 0.00000
215 	 0.00000 	 0.00000 	 0.00000
216 	 0.99999 	 0.97894 	 0.00000
217 	 0.00000 	 0.00000 	 0.00000
218 	 0.00000 	 0.00000 	 0.00000
219 	 0.00000 	 0.00000 	 0.00000
220 	 0.00000 	 0.00000 	 0.00000
221 	 0.00000 	 0.00000 	 0.00000
222 	 0.00000 	 0.00000 	 0.00000
223 	 0.99999 	 0.98943 	 0.00000
224 	 0.00000 	 0.00000 	 0.00000
225 	 0.00000 	 0.00000 	 0.00000
227 	 0.00000 	 0.00000 	 0.00000
228 	 0.00000 	 0.00000 	 0.00000
229 	 0.00000 	 0.00000 	 0.00000
230 	 0.00000 	 0.00000 	 0.00000
231 	 0.00000 	 0.00000 	 0.00000
232 	 0.00000 	 0.00000 	 0.00000
233 	 0.00000 	 0.00000 	 0.00000
234 	 0.00000 	 0.00000 	 0.00000
235 	 1.00000 	 0.99983 	 0.00000
236 	 0.00000 	 0.00000 	 0.00000
237 	 0.00000 	 0.00000 	 0.00000
238 	 0.00000 	 0.00000 	 0.00000
239 	 0.00000 	 0.00000 	 0.00000
