initialOptimizedForces,appliedForces,staticForces,balanceForces,bendingForces
707.63,572.11,-9.20,-5.33,-120.99
909.78,999.84,-2.60,-6.51,99.17
1014.40,1070.76,9.20,-6.87,54.03
1261.30,1265.00,8.20,-8.05,3.55
1169.10,1155.64,-4.20,-7.01,-2.25
1401.90,1382.76,-16.90,-7.98,5.74
740.20,526.96,12.30,-5.68,-219.86
886.83,926.06,2.70,-6.47,42.99
953.26,1051.60,3.90,-6.58,101.02
1195.60,1234.80,7.40,-7.80,39.60
1263.30,1263.59,3.30,-7.78,4.77
1342.70,1322.67,-7.00,-7.73,-5.31
1429.20,1711.07,8.80,-11.25,-65.68
834.07,846.11,5.10,-6.19,13.14
970.52,1060.03,-1.70,-6.83,98.04
1116.70,1181.45,0.90,-7.44,71.29
1169.40,1191.07,4.00,-7.33,25.00
1175.50,1162.85,1.80,-6.91,-7.54
572.25,548.76,-4.10,-3.23,-16.16
985.34,964.18,-6.90,-7.45,-6.81
1029.80,1057.47,-11.40,-7.39,46.46
1120.00,1166.75,-8.30,-7.61,62.65
1258.10,1284.64,-0.60,-8.05,35.19
1340.90,1331.26,4.90,-8.10,-6.45
1031.40,1001.09,3.30,-5.89,-27.72
1885.70,2120.59,-12.60,-14.64,-37.87
1020.80,987.53,-17.80,-7.47,-8.01
1290.20,1292.57,-14.30,-8.94,25.62
1281.90,1290.61,-5.10,-8.40,22.21
1122.10,1108.58,4.70,-6.91,-11.32
1105.10,1068.89,9.10,-6.43,-38.88
1266.00,1214.72,-14.50,-9.44,-27.34
1320.10,1294.47,-12.20,-9.32,-4.11
1089.00,1078.44,-4.30,-7.29,1.02
1462.50,1437.96,5.50,-9.21,-20.83
1000.80,964.58,10.40,-6.03,-40.59
1248.60,1216.00,-4.70,-9.39,-18.51
1261.70,1241.89,-2.40,-9.01,-8.39
765.11,752.97,-0.30,-5.17,-6.67
1261.20,1239.55,9.30,-8.13,-22.82
1177.00,1174.64,5.90,-8.70,0.44
1106.60,1104.73,7.80,-7.73,-1.94
525.92,520.96,8.80,-3.53,-10.23
738.75,598.05,-2.70,-6.05,-131.96
887.10,964.55,-9.60,-7.60,94.65
952.43,1007.36,3.10,-8.53,60.36
1195.50,1169.68,9.30,-11.17,-23.95
1262.60,1227.75,3.00,-12.25,-25.59
1339.60,1333.27,-9.00,-13.54,16.22
834.87,899.02,0.40,-6.95,70.70
969.96,1048.38,5.40,-8.45,81.47
1115.80,1120.75,11.30,-10.14,3.79
1167.10,1139.00,5.90,-11.07,-22.94
1173.50,1157.97,-8.10,-11.59,4.16
571.50,579.29,-16.90,-5.79,30.48
985.41,983.76,-1.10,-7.96,7.41
1029.20,1060.29,5.30,-8.71,34.50
1122.10,1134.29,11.30,-9.93,10.81
1258.10,1245.08,8.60,-11.62,-10.00
1340.80,1325.96,-4.10,-12.88,2.14
1027.90,1028.64,-17.90,-10.26,28.91
1023.20,988.16,-2.20,-8.40,-24.44
1293.00,1278.43,6.50,-11.12,-9.96
1284.00,1273.64,8.20,-11.52,-7.03
1122.70,1115.93,0.30,-10.52,3.45
1104.50,1104.99,-12.40,-10.75,23.64
1267.80,1211.22,-7.70,-10.10,-38.78
1322.10,1284.54,0.50,-11.04,-27.01
1092.00,1074.37,5.40,-9.53,-13.50
1469.30,1459.88,3.00,-13.40,0.98
1003.40,1004.50,-3.50,-9.45,14.05
1249.20,1212.60,-3.70,-9.72,-23.18
1292.90,1261.21,0.30,-10.55,-21.43
770.41,752.35,3.80,-6.61,-15.25
1268.90,1258.88,4.30,-11.24,-3.08
1179.90,1170.22,4.20,-9.22,-4.66
1113.20,1099.00,4.00,-9.17,-9.03
529.68,521.41,4.60,-4.53,-8.34
705.82,607.88,-9.10,-5.95,-82.89
910.05,983.44,-6.50,-8.03,87.92
1013.20,1021.87,4.50,-9.33,13.49
1262.40,1226.53,7.30,-12.10,-31.07
1168.10,1149.89,1.90,-11.65,-8.46
1403.00,1410.56,-4.40,-14.42,26.38
744.67,572.28,13.80,-6.18,-180.01
881.33,925.56,2.00,-7.65,49.88
954.26,1009.01,-0.10,-8.65,63.51
1195.80,1183.95,4.40,-11.30,-4.95
1248.50,1226.15,5.50,-12.28,-15.57
1343.00,1345.42,2.90,-13.72,13.24
1432.20,1726.76,8.60,-11.59,-52.44
836.69,868.59,8.90,-7.15,30.15
973.70,1043.37,-1.20,-8.70,79.57
1115.40,1134.51,-1.90,-10.39,31.39
1170.60,1156.13,2.10,-11.35,-5.22
1182.20,1170.69,4.60,-11.92,-4.19
570.72,583.60,4.90,-5.89,13.88
986.36,980.75,-2.40,-8.29,5.08
1028.80,1058.81,-6.50,-9.05,45.56
1122.00,1144.90,-8.00,-10.30,41.20
1261.60,1254.04,-4.00,-12.07,8.51
1332.90,1305.64,1.40,-13.26,-15.40
1025.80,1012.69,5.20,-10.54,-7.77
1885.40,2122.35,-11.40,-15.47,-36.18
1024.40,998.31,-12.00,-8.87,-5.22
1288.20,1287.89,-10.70,-11.65,22.04
1272.80,1266.28,-6.90,-12.00,12.38
1125.00,1094.71,-1.50,-11.04,-17.75
1106.60,1065.24,2.80,-11.23,-32.93
1263.20,1210.54,-10.50,-10.76,-31.40
1333.60,1311.67,-7.10,-11.88,-2.96
1077.10,1071.40,-3.00,-10.01,7.31
1460.50,1435.36,0.70,-14.14,-11.70
997.37,956.14,1.80,-9.93,-33.11
1249.50,1205.32,-3.10,-10.55,-30.52
1253.90,1231.69,2.50,-11.07,-13.63
773.06,771.63,3.00,-7.11,2.69
1255.80,1250.62,8.50,-11.97,-1.71
1168.20,1146.22,7.90,-10.02,-19.85
1102.30,1099.28,13.10,-9.91,-6.22
522.03,533.39,12.70,-4.84,3.50
745.60,583.03,-5.50,-5.80,-151.27
880.39,942.15,-10.10,-6.51,78.38
955.42,1030.33,6.30,-6.70,75.31
1194.90,1203.00,12.60,-7.92,3.42
1248.40,1233.83,2.60,-7.80,-9.38
1340.40,1325.56,-15.70,-7.86,8.71
836.78,881.67,-4.00,-6.40,55.29
975.49,1045.05,3.90,-7.08,72.75
1114.20,1129.04,14.00,-7.66,8.50
1170.70,1155.85,9.80,-7.60,-17.05
1180.10,1163.48,-6.50,-7.21,-2.92
568.58,560.27,-20.30,-3.31,15.30
986.91,979.27,-4.30,-7.79,4.46
1028.80,1045.79,0.50,-7.73,24.21
1122.30,1127.68,10.60,-8.00,2.78
1263.50,1249.20,13.10,-8.52,-18.88
1331.70,1309.93,3.30,-8.46,-16.61
1023.20,1008.19,-13.30,-6.12,4.41
